name,price,happyHour,rating,numRatings,categories,lat,long,checkins,url,fs_url
Sunday's @ PH A,,False,,,Hotel Bar,40.8872587494,-74.0432803012,13,,https://foursquare.com/v/sundays-ph-a-hackensack-nj/5133b4f9e4b02029f14b387c
Beemer's 2,$$,True,,,Bar,40.928209,-74.014855,396,,https://foursquare.com/v/beemers-2/4e87bc2561afa1258f93bf69
Tommy Fox's Public House,$$,True,8.02,331,Bar,40.9268240815,-73.9966644853,4547,http://www.tommyfoxs.com,https://foursquare.com/v/tommy-foxs-public-house/4b3617f3f964a520163025e3
Wagon Wheel,$$,False,6.34,56,Bar,40.927211,-73.9988733,418,http://www.wagwheel.com,https://foursquare.com/v/wagon-wheel-bergenfield-nj/4ca3de727f84224be9c1c858
Casa De Hombremuerto XD,,False,,,Strip Club,40.886229,-73.911752,324,,https://foursquare.com/v/casa-de-hombremuerto-xd/4f360639e4b0948a80906ebf
Danny Mac's,$$,False,,,Bar,40.9051694573,-73.8701010873,407,,https://foursquare.com/v/danny-macs/4b78439ff964a520a9c02ee3
Moriarty's Bar & Restaurant,$$,False,,,Pub,40.9029858667,-73.865032,206,http://www.moriartysmclean.com,https://foursquare.com/mcleanmoriartys
Maggie Spillane's Ale House,$$,True,7.5,264,Pub,40.9259504438,-73.8357178307,2774,http://maggiespillanes.com,https://foursquare.com/v/maggie-spillanes-ale-house/4d9648c29079b1f73231f609
TGI Fridays,$$,False,5.94,282,American Restaurant,40.92893422,-73.85013346,2915,http://tgifridays.com,https://foursquare.com/v/tgi-fridays/4ebbfde5722e58fca065dc63
Bayou Restaurant,$$,False,7.75,236,Cajun / Creole Restaurant,40.926088,-73.835709,2076,,https://foursquare.com/v/bayou-restaurant/4b9c00d0f964a5209b3f36e3
Emma C. Brisbane Youth Leadership Center,$$$,False,,,Lounge,40.8879227788,-73.8536883826,4,,https://foursquare.com/v/emma-c-brisbane-youth-leadership-center/519beb25498eb0c55bccdd53
My Sofa,$$$,False,,,Lounge,40.8837128668,-74.0804660627,99,,https://foursquare.com/v/my-sofa/4ef0238a490178f61bce0a17
