name,id,categories,lat,long,checkins
Barcelona Restaurant & Bar,4b563e31f964a5201a0728e3,Italian Restaurant,40.86855104,-74.10311975,482
Lazy Lannigan's,4b1c5844f964a5205e0624e3,Sports Bar,40.8980543333,-74.03994147,3447
Casa de Megan,4cf45dfbe942548140a97ac5,Cocktail Bar,40.874991,-74.000878,8
Bicycle Club,4ab3d2b0f964a520a26e20e3,American Restaurant,40.8793880251,-73.9512370105,1437
Opus Lounge,5194e9bb50193eab827ac172,Lounge,40.8609533459,-73.9202857018,170
Corcho,4c04307f187ec92803bab67b,Wine Bar,40.8659190583,-73.927731514,1041
Vacca Grill & Lounge,52044ce6498e613a1930e231,Lounge,40.8613622968,-73.9200370967,279
El Quinto Centenario,4bafc3fdf964a520021f3ce3,Caribbean Restaurant,40.8621223173,-73.9058849775,264
Rambling House,46212cb5f964a5208d451fe3,Pub,40.8984107988,-73.8671723986,3452
Papi Nice,4de05ea9e4cd846e4088250d,Sports Bar,40.86571941,-73.8603845641,89
Meadowlands Wine & Liquor,4ead948a9911d5c9515b10dd,Brewery,40.8531846001,-74.0879574027,29
Dp's Pub,4d3b6300039eb60cc5d2f49c,Bar,40.8818571543,-74.1209019919,1083
Ed's Tavern,4b590345f964a5206a7828e3,Bar,40.8954216333,-74.0837619789,2854
Straphanger,4c4911823013a59384d23ce2,Bar,40.8941073277,-74.0443876037,857
Bolero Snort Warehouse,501ac4ca90e732f5012093ce,Office,40.8604664913,-74.0291619301,15
Bogota Wine and Liquor,4f32759219836c91c7d9e1aa,Wine Bar,40.869126,-74.022045,4
GaGoPa Karaoke - 가고파 노래방,4c8860130f3c236a92a7f25c,Karaoke Bar,40.8518085954,-73.9699832411,267
Soho Nightclub,4f69d656e4b0e8375cf81ccf,Nightclub,40.8523780525,-73.9698914086,349
Arka Lounge,419fda80f964a520331e1fe3,Nightclub,40.857564,-73.932024,1259
Agua Roja Lounge & Restaurant,4eea852993adad8125bdcb60,Lounge,40.8624350989,-73.9230051794,329
An Beal Bocht Cafe,3fd66200f964a5203ce31ee3,Bar,40.8872660433,-73.9049835703,4090
Monami Doscount Liquor,4bc7bb8c8b7c9c74b51b37cf,Other Nightlife,40.8538572466,-73.8677121994,37
gasolina lounge,4f59b654e4b07f0bf5f9b004,Bar,40.8638303619,-73.8649500116,94
ReBar,4ba5a4f0f964a520f11839e3,Lounge,40.8922029228,-74.0737201605,1706
The Harem,4bdbbec23904a59308ff4b9e,Strip Club,40.8851483583,-74.0683737472,594
